,Unit Id,Grand total,Black total,Hispanic total,Grand total women,Year,UNITID,HRTOTLT,DVHRBKT,DVHRHST,HRBKAAT,HRTOTLW,HRHISPT
13022,136774.0,54.0,1.0,1.0,34.0,2002,,,,,,,
13069,137078.0,279.0,23.0,8.0,141.0,2002,,,,,,,
13128,137096.0,264.0,10.0,8.0,121.0,2002,,,,,,,
13182,137209.0,148.0,15.0,5.0,63.0,2002,,,,,,,
13233,137281.0,81.0,4.0,1.0,39.0,2002,,,,,,,
13283,137315.0,53.0,1.0,3.0,31.0,2002,,,,,,,
13333,137351.0,1983.0,98.0,84.0,1117.0,2002,,,,,,,
13403,137564.0,44.0,1.0,3.0,34.0,2002,,,,,,,
13445,137759.0,145.0,21.0,6.0,67.0,2002,,,,,,,
13491,137777.0,6.0,0.0,0.0,6.0,2002,,,,,,,
13517,137892.0,16.0,6.0,1.0,10.0,2002,,,,,,,
13547,138187.0,286.0,25.0,21.0,127.0,2002,,,,,,,
13603,138354.0,245.0,10.0,2.0,156.0,2002,,,,,,,
13667,138600.0,81.0,5.0,5.0,31.0,2002,,,,,,,
13715,138655.0,7.0,2.0,0.0,5.0,2002,,,,,,,
13746,138691.0,89.0,5.0,0.0,31.0,2002,,,,,,,
13794,138716.0,164.0,109.0,5.0,90.0,2002,,,,,,,
13855,138761.0,27.0,0.0,1.0,13.0,2002,,,,,,,
13893,138813.0,98.0,8.0,2.0,55.0,2002,,,,,,,
13932,138868.0,15.0,0.0,0.0,11.0,2002,,,,,,,
13968,138877.0,24.0,1.0,0.0,17.0,2002,,,,,,,
14005,138947.0,312.0,220.0,1.0,196.0,2002,,,,,,,
14064,138956.0,125.0,30.0,2.0,54.0,2002,,,,,,,
14109,138983.0,178.0,16.0,2.0,98.0,2002,,,,,,,
14161,139126.0,43.0,3.0,0.0,19.0,2002,,,,,,,
14199,139153.0,8.0,3.0,0.0,8.0,2002,,,,,,,
14231,139357.0,69.0,16.0,0.0,28.0,2002,,,,,,,
14278,139393.0,57.0,1.0,0.0,50.0,2002,,,,,,,
14323,139463.0,112.0,3.0,0.0,58.0,2002,,,,,,,
14375,139579.0,25.0,2.0,1.0,13.0,2002,,,,,,,
14412,139700.0,73.0,4.0,1.0,33.0,2002,,,,,,,
14469,139861.0,277.0,6.0,3.0,151.0,2002,,,,,,,
14530,139904.0,77.0,5.0,1.0,39.0,2002,,,,,,,
14570,139931.0,604.0,31.0,3.0,349.0,2002,,,,,,,
14638,139959.0,2490.0,130.0,27.0,1668.0,2002,,,,,,,
14712,140076.0,52.0,6.0,0.0,20.0,2002,,,,,,,
14754,140234.0,64.0,2.0,1.0,34.0,2002,,,,,,,
14800,140252.0,170.0,16.0,3.0,116.0,2002,,,,,,,
14852,140447.0,413.0,25.0,6.0,253.0,2002,,,,,,,
14915,140483.0,95.0,6.0,0.0,58.0,2002,,,,,,,
14976,140571.0,105.0,81.0,1.0,66.0,2002,,,,,,,
15023,140678.0,71.0,0.0,0.0,38.0,2002,,,,,,,
15064,140942.0,54.0,19.0,3.0,24.0,2002,,,,,,,
15107,140951.0,282.0,7.0,6.0,153.0,2002,,,,,,,
15156,140960.0,122.0,58.0,1.0,72.0,2002,,,,,,,
15219,140997.0,36.0,1.0,1.0,17.0,2002,,,,,,,
15268,141158.0,48.0,5.0,0.0,24.0,2002,,,,,,,
15305,141167.0,36.0,2.0,0.0,17.0,2002,,,,,,,
15339,141185.0,47.0,1.0,2.0,39.0,2002,,,,,,,
15384,141264.0,442.0,23.0,2.0,238.0,2002,,,,,,,
15446,141325.0,48.0,3.0,1.0,19.0,2002,,,,,,,
15490,141361.0,34.0,0.0,0.0,21.0,2002,,,,,,,
15532,141486.0,57.0,0.0,0.0,32.0,2002,,,,,,,
15575,141583.0,11.0,0.0,0.0,8.0,2002,,,,,,,
15608,142276.0,555.0,3.0,5.0,330.0,2002,,,,,,,
15673,142285.0,734.0,1.0,6.0,519.0,2002,,,,,,,
15741,142443.0,139.0,0.0,1.0,66.0,2002,,,,,,,
15797,142461.0,90.0,2.0,1.0,60.0,2002,,,,,,,
15845,143048.0,122.0,9.0,4.0,73.0,2002,,,,,,,
15893,143075.0,18.0,2.0,6.0,14.0,2002,,,,,,,
15927,143215.0,127.0,1.0,0.0,64.0,2002,,,,,,,
15974,143279.0,140.0,6.0,2.0,68.0,2002,,,,,,,
16021,143288.0,35.0,0.0,0.0,24.0,2002,,,,,,,
16054,143297.0,13.0,0.0,0.0,0.0,2002,,,,,,,
16079,143613.0,72.0,2.0,1.0,34.0,2002,,,,,,,
16121,143659.0,25.0,1.0,1.0,16.0,2002,,,,,,,
16159,143853.0,95.0,2.0,3.0,34.0,2002,,,,,,,
16206,143978.0,8.0,0.0,0.0,4.0,2002,,,,,,,
16234,144050.0,2197.0,57.0,18.0,1563.0,2002,,,,,,,
16308,144157.0,79.0,63.0,2.0,34.0,2002,,,,,,,
16358,144166.0,61.0,39.0,1.0,31.0,2002,,,,,,,
16400,144175.0,63.0,42.0,1.0,30.0,2002,,,,,,,
16440,144184.0,87.0,14.0,7.0,41.0,2002,,,,,,,
16483,144193.0,60.0,10.0,5.0,37.0,2002,,,,,,,
16531,144209.0,85.0,30.0,7.0,44.0,2002,,,,,,,
16575,144218.0,92.0,14.0,8.0,49.0,2002,,,,,,,
16620,144281.0,288.0,36.0,11.0,163.0,2002,,,,,,,
16681,144564.0,47.0,0.0,0.0,24.0,2002,,,,,,,
16725,144865.0,283.0,9.0,2.0,130.0,2002,,,,,,,
16777,144944.0,101.0,2.0,2.0,52.0,2002,,,,,,,
16826,144962.0,113.0,2.0,1.0,59.0,2002,,,,,,,
16874,144971.0,43.0,0.0,0.0,28.0,2002,,,,,,,
16907,145239.0,10.0,1.0,0.0,3.0,2002,,,,,,,
16939,145336.0,188.0,31.0,6.0,87.0,2002,,,,,,,
