,Unit Id,Grand total enrolled,Black total enrolled,Hispanic total enrolled,Total women enrolled,Year
49668,129695,1969,328,406,987,2017
49669,129729,2173,242,694,1080,2017
49670,129756,996,84,197,498,2017
49671,129774,575,79,89,240,2017
49672,129808,1340,87,207,686,2017
49673,129923,313,76,96,188,2017
49674,129932,203,68,63,19,2017
49675,129941,4831,553,562,2574,2017
49676,129969,185,39,46,146,2017
49677,130004,2054,343,801,1035,2017
49678,130040,375,4,52,222,2017
49679,130110,48,4,5,38,2017
49680,130174,1347,259,335,525,2017
49681,130183,2617,478,191,1609,2017
49682,130217,505,5,58,262,2017
49683,130226,6959,266,652,4238,2017
49684,130253,4982,206,496,3138,2017
49685,130314,654,90,105,646,2017
49686,130396,2179,496,589,1081,2017
49687,130448,24,3,3,21,2017
49688,130493,6814,1126,1107,4142,2017
49689,130509,320,174,60,294,2017
49690,130590,2117,123,162,1076,2017
49691,130606,1553,129,377,782,2017
49692,130624,1044,66,97,367,2017
49693,130697,2896,187,327,1565,2017
49694,130776,4089,425,748,2057,2017
49695,130794,5743,404,724,2844,2017
49696,130837,59,7,5,53,2017
49697,130873,108,55,11,103,2017
49698,130907,4731,969,607,2620,2017
49699,130934,3571,2601,237,2345,2017
49700,130943,18195,1006,1470,10476,2017
49701,130989,667,182,34,361,2017
49702,131061,73,13,12,70,2017
49703,131098,1303,561,99,720,2017
49704,131113,3035,575,297,1742,2017
49705,131159,7764,519,1013,4836,2017
49706,131283,3194,120,427,1736,2017
49707,131399,1830,918,200,922,2017
49708,131450,1074,173,91,604,2017
49709,131469,10893,697,1042,6599,2017
49710,131496,6987,428,728,3898,2017
49711,131520,6090,5450,41,4216,2017
49712,131803,107,71,10,44,2017
49713,131830,32,8,6,15,2017
49714,131876,1075,597,333,1066,2017
49715,132268,131,10,5,6,2017
49716,132338,426,47,144,238,2017
49717,132374,3907,1230,1011,583,2017
49718,132408,281,17,7,132,2017
49719,132471,2991,1044,1038,1850,2017
49720,132602,3755,2993,117,2317,2017
49721,132657,1826,188,248,905,2017
49722,132675,65,12,1,44,2017
49723,132693,5349,470,767,2836,2017
49724,132709,12037,3476,4268,6872,2017
49725,132842,291,0,158,207,2017
49726,132851,3055,371,559,1800,2017
49727,132879,166,21,30,68,2017
49728,132903,39962,4381,10154,21740,2017
49729,132976,215,27,22,127,2017
49730,133021,853,133,47,503,2017
49731,133155,358,61,151,165,2017
49732,133386,5494,677,949,3051,2017
49733,133465,535,223,128,440,2017
49734,133492,1915,62,164,1265,2017
49735,133508,5688,578,1727,3442,2017
49736,133526,853,742,33,409,2017
49737,133553,5378,285,389,1175,2017
49738,133650,6875,6121,190,4502,2017
49739,133669,16325,3066,4166,9101,2017
49740,133702,6413,1560,630,3669,2017
49741,133711,2591,98,162,1703,2017
49742,133809,489,33,45,251,2017
49743,133845,621,78,28,549,2017
49744,133854,528,365,119,428,2017
49745,133863,511,129,248,441,2017
49746,133872,575,103,219,476,2017
49747,133881,3269,197,276,942,2017
49748,133942,80,4,1,69,2017
49749,133951,26655,3159,17332,15092,2017
49750,133960,363,35,89,178,2017
49751,133979,1129,820,81,696,2017
49752,133997,502,106,373,324,2017
49753,134024,64,6,4,48,2017
49754,134079,2356,100,244,1515,2017
49755,134097,29286,2321,5994,16586,2017
49756,134112,3989,891,2236,2761,2017
49757,134130,31384,1941,6629,17800,2017
49758,134228,24,13,4,20,2017
49759,134237,16908,4114,2910,4681,2017
49760,134291,465,83,23,89,2017
49761,134307,230,30,164,9,2017
49762,134343,1840,181,121,1069,2017
49763,134422,60,8,13,58,2017
49764,134495,10901,1898,3457,5490,2017
49765,134510,112,6,8,61,2017
49766,134529,235,127,69,203,2017
49767,134574,115,22,24,86,2017
49768,134608,5827,871,1333,3156,2017
49769,134680,3,1,1,3,2017
49770,134714,64,15,10,49,2017
49771,134811,1051,67,375,687,2017
49772,134945,2180,418,249,1194,2017
49773,135081,11334,2649,2725,7678,2017
49774,135142,36,0,36,35,2017
49775,135160,992,130,61,648,2017
49776,135179,497,62,83,206,2017
49777,135188,1534,114,326,873,2017
49778,135267,1072,126,298,216,2017
49779,135276,534,261,32,232,2017
49780,135294,330,214,99,152,2017
49781,135337,73,14,7,63,2017
49782,135364,55,13,1,12,2017
49783,135391,4032,345,724,2358,2017
49784,135407,680,102,189,323,2017
49785,135522,340,59,1,194,2017
49786,135559,34,4,11,30,2017
49787,135610,64,17,32,37,2017
49788,135647,225,95,110,65,2017
49789,135717,23589,3225,16507,13354,2017
49790,135726,10216,834,2174,5312,2017
49791,135735,931,214,256,68,2017
49792,135771,221,10,205,175,2017
49793,136109,126,31,9,123,2017
49794,136145,414,96,24,284,2017
49795,136172,10223,855,1226,5766,2017
49796,136215,3154,405,619,2101,2017
49797,136233,2482,175,254,1411,2017
49798,136303,159,61,40,133,2017
49799,136330,2350,226,359,1526,2017
49800,136358,8303,1982,2522,4271,2017
49801,136400,4177,239,885,2461,2017
49802,136473,3583,503,295,2083,2017
49803,136491,372,51,52,104,2017
49804,136516,3627,551,861,2203,2017
49805,136659,172,15,8,60,2017
49806,136765,297,55,112,137,2017
49807,136774,1395,56,240,949,2017
49808,136783,30,8,2,28,2017
49809,136826,465,81,315,170,2017
49810,136950,2453,120,460,1481,2017
49811,137023,431,75,6,243,2017
49812,137032,6732,2156,897,4002,2017
49813,137078,8663,905,1246,4862,2017
49814,137087,706,233,83,320,2017
49815,137096,6246,693,1240,3241,2017
49816,137120,342,26,54,120,2017
49817,137148,42,16,6,29,2017
49818,137209,6011,795,1541,2986,2017
49819,137245,1797,818,517,843,2017
49820,137272,55,1,18,1,2017
49821,137281,1891,189,227,1052,2017
49822,137315,968,103,325,566,2017
49823,137351,24672,2482,4915,13482,2017
49824,137476,935,237,411,490,2017
49825,137546,3028,231,482,1738,2017
49826,137564,4288,593,835,2413,2017
49827,137591,305,37,38,228,2017
49828,137713,116,37,6,79,2017
49829,137759,5830,1569,893,2915,2017
49830,137777,31,0,0,0,2017
49831,137801,238,73,73,133,2017
49832,137847,7728,384,965,4517,2017
49833,137856,94,17,4,27,2017
49834,137865,373,71,11,172,2017
49835,137953,302,67,37,124,2017
49836,137962,163,45,32,73,2017
49837,138132,36,3,3,30,2017
49838,138187,16165,2212,5577,8846,2017
49839,138275,869,318,96,362,2017
49840,138284,339,43,0,196,2017
49841,138293,584,194,70,167,2017
49842,138309,4649,839,531,3857,2017
49843,138354,6906,842,626,3854,2017
49844,138372,471,150,115,130,2017
49845,138479,1043,303,368,419,2017
49846,138488,244,56,103,158,2017
49847,138497,160,5,13,71,2017
49848,138558,2470,180,165,1219,2017
49849,138600,913,265,106,909,2017
49850,138655,532,326,85,151,2017
49851,138664,35,27,3,28,2017
49852,138682,1232,941,16,779,2017
49853,138716,3927,3167,94,2692,2017
49854,138761,227,103,11,110,2017
49855,138789,4513,1156,385,2991,2017
49856,138813,1145,336,145,528,2017
49857,138822,441,205,17,410,2017
49858,138840,1405,1204,64,810,2017
49859,138868,1119,370,70,547,2017
49860,138901,1081,944,59,703,2017
49861,138938,158,74,12,112,2017
49862,138947,3187,2710,4,2322,2017
49863,138956,1806,880,69,986,2017
49864,139010,490,172,21,343,2017
49865,139144,1945,99,130,1184,2017
49866,139153,118,63,12,56,2017
49867,139199,1080,297,87,1000,2017
49868,139205,438,124,29,187,2017
49869,139214,37,20,3,33,2017
49870,139250,2217,452,133,1465,2017
49871,139278,1750,563,118,1042,2017
49872,139287,37,30,0,15,2017
49873,139311,3743,2403,246,2559,2017
49874,139357,970,441,62,579,2017
49875,139366,4693,1794,318,2803,2017
49876,139384,1603,130,204,966,2017
49877,139393,983,26,27,525,2017
49878,139463,3256,161,825,1901,2017
49879,139506,180,175,1,103,2017
49880,139579,396,169,27,238,2017
49881,139621,2141,1046,115,1218,2017
49882,139630,822,116,63,382,2017
49883,139658,6794,548,637,4032,2017
49884,139700,2843,448,406,1659,2017
49885,139719,2115,1960,34,1237,2017
49886,139746,67,27,8,48,2017
49887,139755,13974,975,915,5380,2017
49888,139764,1779,465,108,1106,2017
49889,139861,5442,287,303,3416,2017
49890,139931,15755,3799,877,7964,2017
49891,139940,19882,8174,2189,11836,2017
49892,139959,27142,2127,1643,15504,2017
